"qualifying","position","displayName","nflId_def","routes","eps_tracking_w_penalties","eps_tracking","normalized_avg_max_epa","penalties_and_time_to_throw_normalized_tracking_epa","penalities_count","tracking_penalty_perc","penalties_eps"
1,"CB","Richard Sherman",2495507,140,0.497496569825859,0.980602662717552,0.374699535533371,0.374403607693324,2,0.0140845070422535,-0.707377317780088
1,"SS","Reshad Jones",496739,44,0.487622629219962,0.417315008598234,0.333716701946007,0.333716701946007,0,0,0
1,"CB","Gareon Conley",2558062,95,0.465845875226573,1.32391850285766,0.328250145419286,0.33190148938695,2,0.0206185567010309,-1.01068065570198
1,"DB","D.J. Reed",2560850,71,0.455444791847911,0.34199385857194,0.387588503769476,0.387588503769476,0,0,0
1,"FS","Montae Nicholson",2558133,18,0.401723862852063,0.372961654415902,0.29619391116608,0.29619391116608,0,0,0
1,"FS","Marcus Gilchrist",2495153,48,0.388325287915263,0.311626065418833,0.384018827366285,0.384018827366285,0,0,0
1,"FS","Mike Mitchell",238227,15,0.384831709803294,0.36086320277316,0.2720721016146,0.2720721016146,0,0,0
1,"CB","Tyler Patmon",2550659,79,0.323480709072117,0.197246572046742,0.403804821075606,0.403804821075606,0,0,0
1,"CB","Patrick Peterson",2495504,174,0.31430268322861,0.734768683939017,0.376173989308889,0.378022244245146,1,0.00571428571428571,-0.699618603153842
1,"SS","Erik Harris",2555568,21,0.273590828010862,0.240034918168673,0.346170577125026,0.346170577125026,0,0,0
1,"FS","Clayton Geathers",2552386,73,0.244584191576679,0.127937457363357,0.399414963184124,0.399414963184124,0,0,0
1,"SS","Derrick Kindred",2555540,44,0.183440481821202,0.95851404346928,0.287908086072315,0.300326443697632,1,0.0222222222222222,-0.846734179211613
1,"CB","Trevor Williams",2556828,49,0.154288969080128,1.4291816682127,0.240538936586657,0.262835268762101,1,0.02,-1.35535554535883
1,"CB","Kareem Jackson",496735,260,0.100745125716127,0.0203897480238831,0.407305580902659,0.40547640351201,2,0.00763358778625954,-0.335366685455356
1,"CB","Jalen Ramsey",2555280,130,0.067368474340868,0.604820878532765,0.38864968830394,0.38841086956049,2,0.0151515151515152,-0.745775302472404
1,"CB","Ryan Smith",2555552,71,0.0623803390625915,0.874745517476744,0.344026649157244,0.352127637937635,1,0.0138888888888889,-0.927297841345411
1,"CB","Darius Phillips",2560839,72,0.0320895804474341,-0.0829592532972121,0.42694781323631,0.42694781323631,0,0,0
1,"SS","Jordan Richards",2552392,32,-0.0223978781450151,-0.0735306931426356,0.413082232578521,0.413082232578521,0,0,0
1,"FS","Eddie Jackson",2558176,50,-0.124683782147975,-0.204578805581757,0.425611977196257,0.425611977196257,0,0,0
1,"S","Jessie Bates",2560970,46,-0.128521972565842,-0.202025394124921,0.445393330188833,0.445393330188833,0,0,0
1,"SS","Sean Davis",2555386,36,-0.136209410617741,-0.193733827490064,0.452579120010426,0.452579120010426,0,0,0
1,"CB","P.J. Williams",2552484,258,-0.138837575729911,1.73004031964279,0.378365671303037,0.382761283791254,3,0.0114942528735632,-2.28235187333371
1,"CB","Ronald Darby",2552689,118,-0.148384312068343,-0.336936567372069,0.434052923197861,0.434052923197861,0,0,0
1,"FS","Marcus Maye",2557995,18,-0.158036271214036,-0.186798479650197,0.478305647948351,0.478305647948351,0,0,0
1,"SS","Adrian Phillips",2550842,82,-0.165692410568298,-0.2967202489997,0.44341004011453,0.44341004011453,0,0,0
1,"CB","Sherrick McManis",494289,95,-0.199988413608426,-0.351788958132612,0.351964812153053,0.351964812153053,0,0,0
1,"SS","Quandre Diggs",2552262,123,-0.225282127262006,0.962438457284491,0.365202266727128,0.367499038468528,3,0.0238095238095238,-1.38500003959773
